story_id,target_ts,kind,created_ts,enqueued_ts,done_ts
46890306,1770234362,obs_30m,1770232562,1770232581,1770234381
46890306,1770318962,label_24h,1770232562,1770232581,1770318982
46890297,1770234324,obs_30m,1770232524,1770232581,1770234381
46890297,1770318924,label_24h,1770232524,1770232581,1770318982
46890294,1770234307,obs_30m,1770232507,1770232581,1770234381
46890294,1770318907,label_24h,1770232507,1770232581,1770318982
46890284,1770234270,obs_30m,1770232470,1770232581,1770234381
46890284,1770318870,label_24h,1770232470,1770232581,1770318982
46890281,1770234254,obs_30m,1770232454,1770232581,1770234381
46890281,1770318854,label_24h,1770232454,1770232581,1770318982
46890280,1770234252,obs_30m,1770232452,1770232581,1770234381
46890280,1770318852,label_24h,1770232452,1770232581,1770318982
46890261,1770234148,obs_30m,1770232348,1770232581,1770234381
46890261,1770318748,label_24h,1770232348,1770232581,1770318982
46890244,1770234057,obs_30m,1770232257,1770232581,1770234381
46890244,1770318657,label_24h,1770232257,1770232581,1770318982
46890242,1770234055,obs_30m,1770232255,1770232581,1770234381
46890242,1770318655,label_24h,1770232255,1770232581,1770318982
46890217,1770233931,obs_30m,1770232131,1770232581,1770234381
46890217,1770318531,label_24h,1770232131,1770232581,1770318982
46890208,1770233900,obs_30m,1770232100,1770232581,1770234381
46890208,1770318500,label_24h,1770232100,1770232581,1770318982
46890198,1770233864,obs_30m,1770232064,1770232581,1770234381
46890198,1770318464,label_24h,1770232064,1770232581,1770318982
46890174,1770233778,obs_30m,1770231978,1770232581,1770233781
46890174,1770318378,label_24h,1770231978,1770232581,1770318382
46890167,1770233738,obs_30m,1770231938,1770232581,1770233781
46890167,1770318338,label_24h,1770231938,1770232581,1770318382
46890141,1770233623,obs_30m,1770231823,1770232581,1770233781
46890141,1770318223,label_24h,1770231823,1770232581,1770318382
46890117,1770233521,obs_30m,1770231721,1770232581,1770233781
46890117,1770318121,label_24h,1770231721,1770232581,1770318382
46890110,1770233501,obs_30m,1770231701,1770232581,1770233781
46890110,1770318101,label_24h,1770231701,1770232581,1770318382
46890095,1770233447,obs_30m,1770231647,1770232581,1770233781
46890095,1770318047,label_24h,1770231647,1770232581,1770318382
46890087,1770233431,obs_30m,1770231631,1770232581,1770233781
46890087,1770318031,label_24h,1770231631,1770232581,1770318382
46890084,1770233423,obs_30m,1770231623,1770232581,1770233781
46890084,1770318023,label_24h,1770231623,1770232581,1770318382
46890080,1770233417,obs_30m,1770231617,1770232581,1770233781
46890080,1770318017,label_24h,1770231617,1770232581,1770318382
