story_id,snapshot_ts,snapshot_iso,score,descendants,kids_count,is_dead,is_deleted
46889523,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46889517,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46889512,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46889497,1770232581,2026-02-04T19:16:21+00:00,3,0,0,0,0
46889447,1770232581,2026-02-04T19:16:21+00:00,8,0,0,0,0
46889444,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46889425,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46889423,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46889419,1770232581,2026-02-04T19:16:21+00:00,8,0,0,0,0
46889390,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46889385,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46889383,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46889344,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46889334,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46889282,1770232581,2026-02-04T19:16:21+00:00,11,0,0,0,0
46889264,1770232581,2026-02-04T19:16:21+00:00,6,1,1,0,0
46889261,1770232581,2026-02-04T19:16:21+00:00,4,0,0,0,0
46889249,1770232581,2026-02-04T19:16:21+00:00,13,1,1,0,0
46889242,1770232581,2026-02-04T19:16:21+00:00,4,0,0,0,0
46889240,1770232581,2026-02-04T19:16:21+00:00,3,0,0,0,0
46889237,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46889180,1770232581,2026-02-04T19:16:21+00:00,4,1,1,0,0
46889163,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46889144,1770232581,2026-02-04T19:16:21+00:00,7,2,2,0,0
46889119,1770232581,2026-02-04T19:16:21+00:00,3,1,1,0,0
46889088,1770232581,2026-02-04T19:16:21+00:00,12,1,1,0,0
46889056,1770232581,2026-02-04T19:16:21+00:00,4,1,1,0,0
46889045,1770232581,2026-02-04T19:16:21+00:00,2,1,1,0,0
46889036,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46889034,1770232581,2026-02-04T19:16:21+00:00,1,0,1,0,0
46889027,1770232581,2026-02-04T19:16:21+00:00,4,2,2,0,0
46889024,1770232581,2026-02-04T19:16:21+00:00,8,2,2,0,0
46889008,1770232581,2026-02-04T19:16:21+00:00,124,67,18,0,0
46888956,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888941,1770232581,2026-02-04T19:16:21+00:00,8,2,1,0,0
46888929,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46888925,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888919,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888908,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888906,1770232581,2026-02-04T19:16:21+00:00,4,2,1,0,0
46888901,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888900,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888896,1770232581,2026-02-04T19:16:21+00:00,3,0,0,0,0
46888891,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888880,1770232581,2026-02-04T19:16:21+00:00,2,1,1,0,0
46888879,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888877,1770232581,2026-02-04T19:16:21+00:00,41,42,14,0,0
46888874,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888867,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888847,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
